account_name,poker,pkrdac
alexocrypto1,2474.0206 POKER,2474.0206 PKRDAC
alibabafirst,2.7054 POKER,2.7054 PKRDAC
alitechgroup,21.2965 POKER,21.2965 PKRDAC
allneedlov.e,7.0170 POKER,7.0170 PKRDAC
amazingeos11,1.1807 POKER,1.1807 PKRDAC
amirichan123,2.0000 POKER,2.0000 PKRDAC
america.bank,1.0568 POKER,1.0568 PKRDAC
andercooleos,1.3915 POKER,1.3915 PKRDAC
andrewlateos,116.3034 POKER,116.3034 PKRDAC
anettererere,13.8790 POKER,13.8790 PKRDAC
ananchenanan,17.1567 POKER,17.1567 PKRDAC
apiapiapiapi,1.2882 POKER,1.2882 PKRDAC
antchain.com,20.0599 POKER,20.0599 PKRDAC
arbyhappyeos,30.2500 POKER,30.2500 PKRDAC
argentariiio,16.9027 POKER,16.9027 PKRDAC
arambulaluis,69.6220 POKER,69.6220 PKRDAC
arsenalman52,1.2338 POKER,1.2338 PKRDAC
aristokratos,5.0000 POKER,5.0000 PKRDAC
appxmatthew3,1.3585 POKER,1.3585 PKRDAC
appxmatthew1,1.4550 POKER,1.4550 PKRDAC
ary555linlin,1.0000 POKER,1.0000 PKRDAC
appxmatthew5,1.1445 POKER,1.1445 PKRDAC
arunningdoge,1.9221 POKER,1.9221 PKRDAC
asdf1ghjk2l3,1.5000 POKER,1.5000 PKRDAC
asdfgha12345,3.6468 POKER,3.6468 PKRDAC
ashziben5555,2.0000 POKER,2.0000 PKRDAC
appxmatthew2,1.3335 POKER,1.3335 PKRDAC
asdasdasd413,5.0122 POKER,5.0122 PKRDAC
asuperwallet,2.0091 POKER,2.0091 PKRDAC
appxmatthew4,1.2233 POKER,1.2233 PKRDAC
asizzlescash,507.4070 POKER,507.4070 PKRDAC
ave3sanatalm,1109.7032 POKER,1109.7032 PKRDAC
axkkh3nhnmyt,1.8881 POKER,1.8881 PKRDAC
awsezdrxftcg,70.1485 POKER,70.1485 PKRDAC
azertyismine,5.0001 POKER,5.0001 PKRDAC
azazazazaz33,1.9299 POKER,1.9299 PKRDAC
baekyonghyun,1.0734 POKER,1.0734 PKRDAC
badgerbadger,290.8806 POKER,290.8806 PKRDAC
baidutieba21,2.1941 POKER,2.1941 PKRDAC
